photo_id,iiif_manifest_emanuscripta,iiif_image_emanuscripta
image_1304,https://www.e-manuscripta.ch/i3f/v20/1985129/manifest,https://www.e-manuscripta.ch/i3f/v21/1985130/full/304/0/default.jpg
image_1305,,
image_1306,,
image_1307,https://www.e-manuscripta.ch/i3f/v20/1985134/manifest,https://www.e-manuscripta.ch/i3f/v21/1985135/full/304/0/default.jpg
image_1308,https://www.e-manuscripta.ch/i3f/v20/1985139/manifest,https://www.e-manuscripta.ch/i3f/v21/1985140/full/304/0/default.jpg
image_1309,https://www.e-manuscripta.ch/i3f/v20/1985144/manifest,https://www.e-manuscripta.ch/i3f/v21/1985145/full/304/0/default.jpg
image_1310,https://www.e-manuscripta.ch/i3f/v20/1985148/manifest,https://www.e-manuscripta.ch/i3f/v21/1985149/full/304/0/default.jpg
image_1311,https://www.e-manuscripta.ch/i3f/v20/1985152/manifest,https://www.e-manuscripta.ch/i3f/v21/1985153/full/304/0/default.jpg
image_1312,https://www.e-manuscripta.ch/i3f/v20/1985157/manifest,https://www.e-manuscripta.ch/i3f/v21/1985158/full/304/0/default.jpg
image_1313,https://www.e-manuscripta.ch/i3f/v20/1985162/manifest,https://www.e-manuscripta.ch/i3f/v21/1985163/full/304/0/default.jpg
image_1314,https://www.e-manuscripta.ch/i3f/v20/1985167/manifest,https://www.e-manuscripta.ch/i3f/v21/1985168/full/304/0/default.jpg
image_1315,https://www.e-manuscripta.ch/i3f/v20/1985171/manifest,https://www.e-manuscripta.ch/i3f/v21/1985172/full/304/0/default.jpg
image_1316,https://www.e-manuscripta.ch/i3f/v20/1985176/manifest,https://www.e-manuscripta.ch/i3f/v21/1985177/full/304/0/default.jpg
image_1317,https://www.e-manuscripta.ch/i3f/v20/1985180/manifest,https://www.e-manuscripta.ch/i3f/v21/1985182/full/304/0/default.jpg
image_1318,https://www.e-manuscripta.ch/i3f/v20/1985185/manifest,https://www.e-manuscripta.ch/i3f/v21/1985186/full/304/0/default.jpg
image_1319,https://www.e-manuscripta.ch/i3f/v20/1985190/manifest,https://www.e-manuscripta.ch/i3f/v21/1985191/full/304/0/default.jpg
image_1320,,
image_1321,,
image_1322,https://www.e-manuscripta.ch/i3f/v20/1985194/manifest,https://www.e-manuscripta.ch/i3f/v21/1985195/full/304/0/default.jpg
image_1323,https://www.e-manuscripta.ch/i3f/v20/1985199/manifest,https://www.e-manuscripta.ch/i3f/v21/1985200/full/304/0/default.jpg
image_1324,https://www.e-manuscripta.ch/i3f/v20/1985204/manifest,https://www.e-manuscripta.ch/i3f/v21/1985205/full/304/0/default.jpg
image_1325,https://www.e-manuscripta.ch/i3f/v20/1985209/manifest,https://www.e-manuscripta.ch/i3f/v21/1985210/full/304/0/default.jpg
image_1326,https://www.e-manuscripta.ch/i3f/v20/1985214/manifest,https://www.e-manuscripta.ch/i3f/v21/1985215/full/304/0/default.jpg
image_0088,https://www.e-manuscripta.ch/i3f/v20/2001994/manifest,https://www.e-manuscripta.ch/i3f/v21/2001995/full/304/0/default.jpg
image_0089,https://www.e-manuscripta.ch/i3f/v20/2001999/manifest,https://www.e-manuscripta.ch/i3f/v21/2002000/full/304/0/default.jpg
image_0090,https://www.e-manuscripta.ch/i3f/v20/2002004/manifest,https://www.e-manuscripta.ch/i3f/v21/2002005/full/304/0/default.jpg
image_0091,https://www.e-manuscripta.ch/i3f/v20/2002008/manifest,https://www.e-manuscripta.ch/i3f/v21/2002009/full/304/0/default.jpg
image_0092,https://www.e-manuscripta.ch/i3f/v20/2002013/manifest,https://www.e-manuscripta.ch/i3f/v21/2002014/full/304/0/default.jpg
image_0093,https://www.e-manuscripta.ch/i3f/v20/2002018/manifest,https://www.e-manuscripta.ch/i3f/v21/2002019/full/304/0/default.jpg
image_0094,https://www.e-manuscripta.ch/i3f/v20/2002022/manifest,https://www.e-manuscripta.ch/i3f/v21/2002023/full/304/0/default.jpg
image_0095,https://www.e-manuscripta.ch/i3f/v20/2002027/manifest,https://www.e-manuscripta.ch/i3f/v21/2002028/full/304/0/default.jpg
image_0096,https://www.e-manuscripta.ch/i3f/v20/2002032/manifest,https://www.e-manuscripta.ch/i3f/v21/2002033/full/304/0/default.jpg
image_0097,https://www.e-manuscripta.ch/i3f/v20/2002036/manifest,https://www.e-manuscripta.ch/i3f/v21/2002037/full/304/0/default.jpg
image_0098,https://www.e-manuscripta.ch/i3f/v20/2002040/manifest,https://www.e-manuscripta.ch/i3f/v21/2002041/full/304/0/default.jpg
image_0099,https://www.e-manuscripta.ch/i3f/v20/2002045/manifest,https://www.e-manuscripta.ch/i3f/v21/2002046/full/304/0/default.jpg
image_0100,https://www.e-manuscripta.ch/i3f/v20/2002049/manifest,https://www.e-manuscripta.ch/i3f/v21/2002050/full/304/0/default.jpg
image_0101,https://www.e-manuscripta.ch/i3f/v20/2002054/manifest,https://www.e-manuscripta.ch/i3f/v21/2002055/full/304/0/default.jpg
image_0102,https://www.e-manuscripta.ch/i3f/v20/2002059/manifest,https://www.e-manuscripta.ch/i3f/v21/2002060/full/304/0/default.jpg
image_0103,,
image_0104,,
image_0105,,
image_0106,,
image_0107,,
image_0108,,
image_0109,,
image_0110,,
image_0111,,
image_0112,,
image_0113,,
image_0114,,
